Product,Product Group,Default Location,Stock Unit,Minimum Stock,Notes
Milk,Dairy,Fridge,Each,2,
Eggs,Dairy,Fridge,Each,1,
Butter,Dairy,Fridge,Each,1,
Cheese,Dairy,Fridge,Each,1,
Yogurt,Dairy,Fridge,Each,2,
Sour Cream,Dairy,Fridge,Each,1,
Cream Cheese,Dairy,Fridge,Each,1,
Lettuce,Produce,Fridge,Each,1,
Tomatoes,Produce,Counter,Each,2,
Onion,Produce,Pantry,Each,2,
Garlic,Produce,Pantry,Each,1,
Carrots,Produce,Fridge,Bag,1,
Celery,Produce,Fridge,Each,1,
Bell Pepper,Produce,Fridge,Each,2,
Cucumber,Produce,Fridge,Each,1,
Apples,Produce,Counter,Each,4,
Bananas,Produce,Counter,Each,6,
Avocados,Produce,Counter,Each,2,
Bacon,Meat,Fridge,Package,1,
Ham,Meat,Fridge,Package,1,
Deli Turkey,Meat,Fridge,Package,1,
Orange Juice,Beverages,Fridge,Bottle,1,
Apple Juice,Beverages,Fridge,Bottle,1,
Soda,Beverages,Fridge,Each,6,
Sparkling Water,Beverages,Fridge,Each,6,
PC,pantry,Fridge,Each,1
